step,train_loss,val_loss,elapsed_s
0,4.280397343635559,4.279629802703857,0.9131230590282939
300,2.495979130268097,2.4976540088653563,30.43908065202413
600,2.420127260684967,2.429581952095032,60.18827354401583
900,2.334238588809967,2.34877895116806,89.9859431720106
1200,2.144617998600006,2.177994155883789,120.20717170002172
1500,2.0042145371437075,2.0712964117527006,150.62513241701527
1800,1.9075194597244263,1.9963105261325835,180.24839405203238
2100,1.816177237033844,1.9288736820220946,210.00455514801433
2400,1.7765110969543456,1.8851155579090118,240.34319277503528
2700,1.727222466468811,1.8529116094112397,270.31751795398304
3000,1.699007272720337,1.83140829205513,301.29467918298906
